ID010755-01	CC(C)NC(=O)N1CCC2(CC1)CCN(CC2)C(=O)C3=CC(=CC(=C3)C(F)(F)F)C(F)(F)F	-2.178	-1.576	-.09057	-.04184	-.1198	.2275	3.141	
conc		.0000000007	.0000000037	.0000000183	.0000000915	.0000004572	.000002286	.0000114293	
ID010786-01	CN1CCN(CC1)C2=NC3=C(C=N2)N=C(CCC4=CC=CC=C4)C(=O)N3CCC#N	-2.107	.9556	-.4522	-1.742	-.5987	.4527	.7029	
conc		.0000000007	.0000000037	.0000000183	.0000000915	.0000004572	.000002286	.0000114293	
ID010813-01	COC1=C(CN2CC[C@]3(C2)CCCN(C3)C(=O)OC4=CC=CC=C4)C=CC=C1	-2.853	-.4747	.08609	-2.37	-.9929	-3.159	2.36	
conc		.0000000007	.0000000037	.0000000183	.0000000915	.0000004572	.000002286	.0000114293	
ID010814-01	COCC(=O)N1CCC2(CCCN(C2)C3=CC=C(C=C3)C4=CC=CC=C4)CC1	2.84	1.73	1.943	1.722	2.223	1.222	-2.942	
conc		.0000000007	.0000000037	.0000000183	.0000000915	.0000004572	.000002286	.0000114293	
ID010818-01	CC(C)NC(=O)N1CC[C@]2(C1)CCCN(C2)S(=O)(=O)C3=CC=CC=C3	-1.324	.6306	1.896	.5296	.1724	.882	.7678	
conc		.0000000007	.0000000037	.0000000183	.0000000915	.0000004572	.000002286	.0000114293	
ID010819-01	COC1=CC=C(C=C1)N2C(=O)C(C)=NC3=C2N=C(N=C3)N4CCNCC4	-.3263	1.268	1.407	1.054	1.869	1.411	2.572	
conc		.0000000007	.0000000037	.0000000183	.0000000915	.0000004572	.000002286	.0000114293	
ID010834-01	CC(C)NC(=O)N1CC[C@]2(C1)CCCN(C2)C(=O)C3=C(C)ON=C3C	.2484	.9917	.2625	-.7051	2.004	-.2571	.8476	
conc		.0000000007	.0000000037	.0000000183	.0000000915	.0000004572	.000002286	.0000114293	
ID010843-01	COC1=C(CN2CC[C@]3(C2)CCCN(C3)C(C)=O)C=CC=C1	1.318	2.771	.1729	.8625	2.329	.9898	2.502	
conc		.0000000007	.0000000037	.0000000183	.0000000915	.0000004572	.000002286	.0000114293	
ID010866-01	CN(C)C(=O)C1=CC=C(C=C1)C2=C(NCC3=CC=CS3)N=CN=C2	1.73	-.7594	.1468	.1345	-.1298	-2.18	-3.315	
conc		.0000000007	.0000000037	.0000000183	.0000000915	.0000004572	.000002286	.0000114293	
ID010920-01	COC(=O)N1CCC2(CCN(CC2)C(=O)NC3=CC(=CC=C3)C#N)CC1	-1.954	-1.381	-1.247	-2.78	-.3654	-2.819	1.168	
conc		.0000000007	.0000000037	.0000000183	.0000000915	.0000004572	.000002286	.0000114293	
ID010934-01	CC1=NOC(C)=C1C(=O)N2CCC3(CN(C3)C(=O)NC4=CC=CC(F)=C4)CC2	.6707	.5718	.9807	.05308	.6808	1.3	-.9865	
conc		.0000000007	.0000000037	.0000000183	.0000000915	.0000004572	.000002286	.0000114293	
ID010943-01	C1CN(CCN1)C2=NC=NC3=CC=C(C=C23)C4=CC=CN=C4	-1.581	-.3236	-3.853	-2.298	.435	1.619	2.125	
conc		.0000000007	.0000000037	.0000000183	.0000000915	.0000004572	.000002286	.0000114293	
ID010955-01	CN1C=CC=C1C(=O)N2CCC3(CCCN(C3)C4=CC=C(C=C4)C5=CC=CC=C5)CC2	1.474	1.553	1.658	-.5701	.5151	.05037	-3.201	
conc		.0000000007	.0000000037	.0000000183	.0000000915	.0000004572	.000002286	.0000114293	
ID010957-01	O=S(=O)(N1CCC[C@@]2(CCN(CC3=NC=CS3)C2)C1)C4=CC=CC=C4	-.6354	1.747	.6478	1.185	-1.666	1.227	-1.336	
conc		.0000000007	.0000000037	.0000000183	.0000000915	.0000004572	.000002286	.0000114293	
ID010972-01	C1CN(CCO1)C2=C3C=C(C=CC3=NC=N2)C4=COC=C4	-1.575	.1466	-.03302	.8827	-2.147	-1.14	.7981	
conc		.0000000007	.0000000037	.0000000183	.0000000915	.0000004572	.000002286	.0000114293	
ID011004-01	COC1=CC=C(NC(=O)N2CC[C@]3(C2)CCCNC3)C=C1	1.133	.4231	.4799	.5684	1.255	-1.393	1.518	
conc		.0000000007	.0000000037	.0000000183	.0000000915	.0000004572	.000002286	.0000114293	
ID011014-01	COC1=CC2=C(NC=C2CCNC3=C4C=C(C=CC4=NC=N3)C5=C(CN(C)C)C=CC=C5)C=C1	-.3916	-1.254	-.09711	-.5608	1.286	2.595	1.015	
conc		.0000000007	.0000000037	.0000000183	.0000000915	.0000004572	.000002286	.0000114293	
ID011033-01	O=C(N1CCC2(CCCN(C2)C3=CC=CC=N3)CC1)C4=CC=NC=C4	-5.257	-.6915	1.919	-.117	-.5331	-.5917	2.795	
conc		.0000000007	.0000000037	.0000000183	.0000000915	.0000004572	.000002286	.0000114293	
ID011056-01	COC1=CC=C(OC2=NC3=C(C=N2)N=C(C)C(=O)N3CC4=CC=C(F)C=C4)C=C1	-.04065	-.2113	.4454	.1363	.475	-.1411	2.084	
conc		.0000000007	.0000000037	.0000000183	.0000000915	.0000004572	.000002286	.0000114293	
