conc 		0.0001	5e-05	2.5e-05	1.25e-05	6.25e-06	3.13e-06	1.56e-06	7.8e-07	3.9e-07	1.9e-07
92764285	CC1COCC(N1C2=C(C(=O)C3=CC=CC=C3C2=O)Cl)C	63.5	73.49	86.42	44.88	14.51	4.93	5.7	6.98	1.35	0.0
conc 		0.0001	5e-05	2.5e-05	1.25e-05	6.25e-06	3.13e-06	1.56e-06	7.8e-07	3.9e-07	1.9e-07
92764245	C1=CC2=C(C(=O)C(=CC2=O)NCCC3=CC(=C(C(=C3)Br)O)Br)N=C1	92.68	72.81	86.56	54.42	22.8	0.0	0.71	0.0	0.0	4.8
conc 		0.0001	5e-05	2.5e-05	1.25e-05	6.25e-06	3.13e-06	1.56e-06	7.8e-07	3.9e-07	1.9e-07
92764137	CC1C2=C(CC(O1)CC(=O)O)C(=O)C3=C(C2=O)C(=CC=C3)O	100.0	100.0	99.87	94.51	67.22	15.5	9.98	11.86	2.71	4.8
conc 		0.0001	5e-05	2.5e-05	1.25e-05	6.25e-06	3.13e-06	1.56e-06	7.8e-07	3.9e-07	1.9e-07
92764127	CC1=CN=C(C2=C1C(=CC=C2)N)C=NNC(=S)N	0.0	2.04	0.0	9.12	0.69	0.0	0.71	0.0	0.0	0.69
conc 		0.0001	5e-05	2.5e-05	1.25e-05	6.25e-06	3.13e-06	1.56e-06	7.8e-07	3.9e-07	1.9e-07
92764125	COC1=C(C(=O)C(=CC1=O)SC2=CC3=CC=CC=C3C=C2)OC	100.0	91.62	88.86	92.41	73.83	7.4	2.04	8.84	10.32	8.31
conc 		0.0001	5e-05	2.5e-05	1.25e-05	6.25e-06	3.13e-06	1.56e-06	7.8e-07	3.9e-07	1.9e-07
92764123	C1CCN(CC1)C2=CC3=[N+](ON=C3C=C2[N+](=O)[O-])[O-]	100.0	96.94	78.83	75.52	57.41	19.02	7.13	0.0	3.38	2.06
conc 		0.0001	5e-05	2.5e-05	1.25e-05	6.25e-06	3.13e-06	1.56e-06	7.8e-07	3.9e-07	1.9e-07
92764077	C1=CC(=C(C=C1O)O)N=NC2=CC(=CC(=C2O)S(=O)(=O)O)Cl	64.02	57.61	25.15	19.63	15.89	21.13	22.81	18.84	9.47	0.0
conc 		0.0001	5e-05	2.5e-05	1.25e-05	6.25e-06	3.13e-06	1.56e-06	7.8e-07	3.9e-07	1.9e-07
92764075	COC1=C(C(=O)C2=C(C1=O)C=CC=N2)Br	97.49	92.83	100.0	87.93	91.56	41.28	9.98	0.0	0.0	3.43
conc 		0.0001	5e-05	2.5e-05	1.25e-05	6.25e-06	3.13e-06	1.56e-06	7.8e-07	3.9e-07	1.9e-07
92764048	COC1=CC(=O)C(=CC1=O)C2CC(=O)C3=C(C=C(C=C3O2)O)O	82.86	88.76	77.71	71.31	37.17	4.93	5.7	5.58	7.44	0.0
conc 		0.0001	5e-05	2.5e-05	1.25e-05	6.25e-06	3.13e-06	1.56e-06	7.8e-07	3.9e-07	1.9e-07
92764030	CC1C=CC=C(C(=O)NC2=C(C3=C(C4=C(C(=C3O)C)OC(C4=O)(OC=CC(C(C(C(C(C(C1O)C)O)C)OC(=O)C)C)OC)C)C(=C2CN5CCN(CC5)C)O)O)C	50.34	30.54	17.56	4.21	0.0	2.82	0.0	0.0	0.0	0.0
conc 		0.0001	1.25e-05	6.25e-06	1.56e-06	7.8e-07	3.9e-07	1.9e-07
92764027	C\1S(=O)(=O)C/C(=C/C2=CC=C(C=C2)[N+](=O)[O-])/C(=O)/C1=C\C3=CC=C(C=C3)[N+](=O)[O-]	34.71	33.87	30.6	14.97	0.7	0.0	5.49
conc 		0.0001	5e-05	2.5e-05	1.25e-05	6.25e-06	3.13e-06	1.56e-06	7.8e-07	3.9e-07	1.9e-07
92764013	CCCC(=O)NC1=C(C(=O)C2=CC=CC=C2C1=O)Cl	59.73	62.8	61.99	71.84	51.21	13.45	3.4	1.36	4.82	0.0
conc 		0.0001	5e-05	2.5e-05	1.25e-05	6.25e-06	3.13e-06	1.56e-06	7.8e-07	3.9e-07	1.9e-07
92764009	CC1=CC=C(C=C1)SC2=C(C(=O)C3=CC=CC=C3C2=O)N(C)C	81.83	24.43	19.67	6.31	6.22	6.34	2.85	0.0	0.0	8.23
conc 		0.0001	5e-05	2.5e-05	1.25e-05	6.25e-06	3.13e-06	1.56e-06	7.8e-07	3.9e-07	1.9e-07
92763955	CN1C2=CC=CC=C2C3=C1C4=C(C=C3)C(=O)C=CC4=O	64.19	59.48	69.33	58.25	49.99	9.41	6.8	0.0	0.69	4.85
conc 		0.0001	5e-05	2.5e-05	1.25e-05	6.25e-06	3.13e-06	1.56e-06	7.8e-07	3.9e-07	1.9e-07
92763934	CC1=C(C(=O)C=C2C1=CC=C3C2(CCC4(C3(CCC5(C4CC(CC5)(C)C(=O)O)C)C)C)C)O	72.42	83.26	59.86	43.62	9.67	0.0	8.55	2.79	0.0	3.43
conc 		0.0001	5e-05	2.5e-05	1.25e-05	6.25e-06	3.13e-06	1.56e-06	7.8e-07	3.9e-07	1.9e-07
92763880	CC1=CC(=O)C2=C(O1)C(=O)C3=C(C2=O)C=CO3	60.7	47.36	27.68	7.71	10.36	2.82	0.0	9.07	2.03	8.23
conc 		0.0001	5e-05	2.5e-05	1.25e-05	6.25e-06	3.13e-06	1.56e-06	7.8e-07	3.9e-07	1.9e-07
92763870	C1=CC(=C(C(=O)C=C1)O)C(=O)/C=C/C2=CC=C(C=C2)[N+](=O)[O-]	14.33	6.79	0.0	0.0	11.05	0.0	0.0	0.0	0.0	0.0
conc 		0.0001	5e-05	2.5e-05	1.25e-05	6.25e-06	3.13e-06	1.56e-06	7.8e-07	3.9e-07	1.9e-07
92763827	COC1=CC(=O)C2=C(C1=O)C=CC3=C2C(=NC=N3)N	70.66	40.92	11.24	11.92	4.14	4.93	2.85	1.4	1.35	4.8
conc 		0.0001	5e-05	2.5e-05	1.25e-05	6.25e-06	3.13e-06	1.56e-06	7.8e-07	3.9e-07	1.9e-07
92763790	C1=CC=C2C(=C1)C(=CC(=O)C2=O)NC3=CN=CC=C3	7.82	5.43	4.22	0.0	0.0	1.41	0.0	0.0	2.71	3.43
conc 		0.0001	5e-05	2.5e-05	1.25e-05	6.25e-06	3.13e-06	1.56e-06	7.8e-07	3.9e-07	1.9e-07
92763776	C1=CC=C2C(=C1)C=CC(=C2C3=CC(=O)C(=O)C4=CC=CC=C43)O	85.12	91.2	88.63	77.84	54.44	23.95	10.69	11.86	7.44	0.0
conc 		0.0001	5e-05	2.5e-05	1.25e-05	6.25e-06	3.13e-06	1.56e-06	7.8e-07	3.9e-07	1.9e-07
92763745	C1CCN(CC1)/C=C/C2=C3C(=NC=C2)C(=O)C4=CC=CC=C4C3=O	56.98	47.3	35.34	18.23	11.74	0.0	4.28	0.0	4.06	0.0
conc 		0.0001	5e-05	2.5e-05	1.25e-05	6.25e-06	3.13e-06	1.56e-06	7.8e-07	3.9e-07	1.9e-07
